"email","start_time","end_time","usage_type","accelerator_type","accelerator_seconds","base_model_name","model_bucket","parameter_count","prompt_tokens","completion_tokens","cached_prompt_tokens","uncached_prompt_tokens"
"[REDACTED]","2026-08-19 03:47:11 UTC","2026-08-19 03:47:11 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","369798","487","369577","221"
"[REDACTED]","2026-08-19 03:47:19 UTC","2026-08-19 03:47:19 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","370299","866","369797","502"
"[REDACTED]","2026-08-19 01:50:09 UTC","2026-08-19 01:50:09 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","71768","3672","66943","4825"
"[REDACTED]","2026-08-19 01:51:22 UTC","2026-08-19 01:51:22 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","75457","1947","71767","3690"
"[REDACTED]","2026-08-19 02:59:40 UTC","2026-08-19 02:59:40 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","182221","221","181933","288"
"[REDACTED]","2026-08-19 02:59:44 UTC","2026-08-19 02:59:44 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","182507","222","182220","287"
"[REDACTED]","2026-08-19 02:59:49 UTC","2026-08-19 02:59:49 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","182794","222","182506","288"
"[REDACTED]","2026-08-19 02:59:53 UTC","2026-08-19 02:59:53 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","183081","222","182793","288"
"[REDACTED]","2026-08-19 02:59:59 UTC","2026-08-19 02:59:59 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","183368","222","183080","288"
"[REDACTED]","2026-08-19 03:00:03 UTC","2026-08-19 03:00:03 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","183654","222","183367","287"
